title         ,image           ,price         ,description          
Ноутбук Lenovo Ideapad 3 14ITL05 Intel Core i3-1115G4 20GB DDR 256GB SSD Intel UHD Graphics FHD W11 Platinum Grey,https://www.kivano.kg//images/product/118278/1678333059_61249400.jpg,36410 сом,"

Ноутбук Lenovo Ideapad 3 14ITL05 Intel Core i3-1115G4 20GB DDR 256GB SSD Intel UHD Graphics FHD W11 Platinum Grey

        Тип: ноутбук; Операционная система: Windows 11; Процессор: Intel Core i3-1115G4; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel UHD Graphics; Объем оперативной памяти: 20 GB DDR; Объем накопителя SSD: 256 GB; Вес: от 1.5 кг            "
Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 8GB DDR4 512GB SSD NVIDIA MX450 FHD DOS Silver,https://www.kivano.kg//images/product/112903/1666956852_00875500.jpg,70880 сом,"

Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 8GB DDR4 512GB SSD NVIDIA MX450 FHD DOS Silver

        экран 15.6"" IPS 1920x1080 сенсорный; процессор AMD Ryzen 5700U (8/16) 1800-4300 MHz; оперативная память 8GB DDR4; накопитель 512GB SSD; видеоадаптер NVIDIA MX450; DOS            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 256GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/113159/1667385795_80517300.jpg,36700 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 256GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 12GB DDR4; накопитель 256GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 1TB HDD+512GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/115975/1673510024_30728800.jpg,41140 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 1TB HDD+512GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080~60Hz; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 12GB DDR4; накопитель 1TB HDD+512GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук MSI GF63 Thin Intel Core i5-11400H 16GB DDR 512GB SSD Nvidia RTX3050Ti 4GB FHD W11 Black,https://www.kivano.kg//images/product/117767/1677144899_18440300.jpg,90210 сом,"

Ноутбук MSI GF63 Thin Intel Core i5-11400H 16GB DDR 512GB SSD Nvidia RTX3050Ti 4GB FHD W11 Black

        Тип: ноутбук; Операционная система: Windows 11; Процессор: Intel Core i5-11400H; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia RTX3050Ti; Объем оперативной памяти: 16 Gb DDR4; Объем накопителя SSD: 512 Gb; Вес: от 1.86 кг            "
Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 16GB DDR4 1TB SSD NVIDIA MX450 FHD DOS Silver,https://www.kivano.kg//images/product/118023/1677727603_48911500.jpg,75490 сом,"

Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 16GB DDR4 1TB SSD NVIDIA MX450 FHD DOS Silver

        экран 15.6"" IPS 1920x1080 сенсорный; процессор AMD Ryzen 5700U (8/16) 1800-4300 MHz; оперативная память 16GB DDR4; накопитель 1TB SSD; видеоадаптер NVIDIA MX450; DOS            "
Ноутбук Lenovo Ideapad 3 14ITL05 Intel Core i3-1115G4 20GB DDR 500GB SSD Intel UHD Graphics FHD W11 Platinum Grey,https://www.kivano.kg//images/product/118279/1678333148_32696600.jpg,37620 сом,"

Ноутбук Lenovo Ideapad 3 14ITL05 Intel Core i3-1115G4 20GB DDR 500GB SSD Intel UHD Graphics FHD W11 Platinum Grey

        Тип: ноутбук; Операционная система: Windows 11; Процессор: Intel Core i3-1115G4; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel UHD Graphics; Объем оперативной памяти: 20 GB DDR; Объем накопителя SSD: 500 GB; Вес: от 1.5 кг            "
Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 8GB DDR4 1TB SSD NVIDIA MX450 FHD DOS Silver,https://www.kivano.kg//images/product/112904/1666956944_24671700.jpg,73640 сом,"

Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 8GB DDR4 1TB SSD NVIDIA MX450 FHD DOS Silver

        экран 15.6"" IPS 1920x1080 сенсорный; процессор AMD Ryzen 5700U (8/16) 1800-4300 MHz; оперативная память 8GB DDR4; накопитель 1TB SSD; видеоадаптер NVIDIA MX450; DOS            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 256GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/113160/1667385861_08151600.jpg,38820 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 256GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 256GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 1TB HDD+512GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/115976/1673510082_42607000.jpg,43450 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 1TB HDD+512GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080~60Hz; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 1TB HDD+512GB SSD; видеоадаптер Intel Graphics; DOS            "
